,0,1,2,3,4
0,63000000.0,67500000.0,58500000.0,64800000.0,196200000.0
1,45000000.0,55800000.0,80100000.0,109800000.0,113400000.0
2,115200000.0,233100000.0,351900000.0,393300000.0,485100000.0
3,107100000.0,261900000.0,387000000.0,481500000.0,-266400000.0
4,142200000.0,288000000.0,463500000.0,582300000.0,792000000.0
5,98100000.0,230400000.0,206100000.0,109800000.0,347400000.0
6,53100000.0,36900000.0,87300000.0,333000000.0,-97200000.0
7,112500000.0,138600000.0,214200000.0,234900000.0,-181800000.0
8,44100000.0,53100000.0,53100000.0,12600000.0,110700000.0
9,45000000.0,70200000.0,95400000.0,80100000.0,84600000.0
