,0,1,2,3,4
0,44100000.0,71100000.0,127800000.0,340200000.0,-9900000.0
1,47700000.0,82800000.0,99900000.0,56700000.0,-142200000.0
2,43200000.0,23400000.0,20700000.0,-23400000.0,-900000.0
3,27000000.0,28800000.0,81900000.0,42300000.0,-432900000.0
4,31500000.0,45900000.0,77400000.0,230400000.0,-423900000.0
5,41400000.0,38700000.0,28800000.0,-11700000.0,-440100000.0
6,46800000.0,127800000.0,165600000.0,344700000.0,-430200000.0
7,45900000.0,111600000.0,81000000.0,342900000.0,-426600000.0
8,53100000.0,62100000.0,51300000.0,9900000.0,-160200000.0
9,44100000.0,41400000.0,123300000.0,240300000.0,1800000.0
