,0,1,2,3,4
0,107100000.0,204300000.0,292500000.0,240300000.0,606600000.0
1,53100000.0,88200000.0,122400000.0,44100000.0,-27000000.0
2,59400000.0,123300000.0,107100000.0,81900000.0,119700000.0
3,76500000.0,136800000.0,194400000.0,204300000.0,276300000.0
4,68400000.0,92700000.0,210600000.0,282600000.0,228600000.0
5,90900000.0,149400000.0,238500000.0,363600000.0,465300000.0
6,77400000.0,175500000.0,180900000.0,204300000.0,225900000.0
7,68400000.0,93600000.0,127800000.0,156600000.0,136800000.0
8,65700000.0,73800000.0,263700000.0,363600000.0,155700000.0
9,63000000.0,153900000.0,261000000.0,215100000.0,208800000.0
10,93600000.0,169200000.0,268200000.0,245700000.0,452700000.0
11,93600000.0,158400000.0,178200000.0,222300000.0,487800000.0
12,83700000.0,153900000.0,169200000.0,123300000.0,235800000.0
13,151200000.0,261000000.0,365400000.0,411300000.0,966600000.0
14,92700000.0,185400000.0,285300000.0,414900000.0,331200000.0
15,93600000.0,144900000.0,245700000.0,230400000.0,492300000.0
16,85500000.0,204300000.0,219600000.0,274500000.0,366300000.0
17,118800000.0,190800000.0,193500000.0,134100000.0,575100000.0
18,135900000.0,268200000.0,321300000.0,219600000.0,765900000.0
19,119700000.0,250200000.0,399600000.0,406800000.0,846900000.0
20,90000000.0,226800000.0,381600000.0,430200000.0,625500000.0
21,97200000.0,144900000.0,166500000.0,188100000.0,505800000.0
22,71100000.0,140400000.0,113400000.0,171900000.0,158400000.0
23,73800000.0,118800000.0,300600000.0,359100000.0,216000000.0
24,70200000.0,183600000.0,309600000.0,120600000.0,414900000.0
25,93600000.0,126000000.0,122400000.0,86400000.0,499500000.0
26,79200000.0,196200000.0,373500000.0,455400000.0,345600000.0
27,80100000.0,162900000.0,273600000.0,495000000.0,332100000.0
28,61200000.0,75600000.0,114300000.0,212400000.0,99000000.0
29,85500000.0,93600000.0,106200000.0,85500000.0,136800000.0
30,78300000.0,71100000.0,75600000.0,88200000.0,456300000.0
31,92700000.0,152100000.0,234000000.0,160200000.0,495900000.0
32,84600000.0,129600000.0,181800000.0,242100000.0,530100000.0
33,80100000.0,182700000.0,221400000.0,261900000.0,288000000.0
34,57600000.0,147600000.0,261000000.0,261900000.0,99900000.0
35,76500000.0,148500000.0,177300000.0,282600000.0,153000000.0
36,86400000.0,173700000.0,215100000.0,253800000.0,332100000.0
37,81000000.0,189900000.0,303300000.0,455400000.0,184500000.0
38,69300000.0,146700000.0,228600000.0,244800000.0,168300000.0
39,81000000.0,155700000.0,175500000.0,232200000.0,449100000.0
40,96300000.0,314100000.0,522900000.0,667800000.0,555300000.0
41,61200000.0,88200000.0,304200000.0,172800000.0,45000000.0
42,81000000.0,138600000.0,198900000.0,304200000.0,162900000.0
43,146700000.0,194400000.0,253800000.0,188100000.0,1025100000.0
44,63900000.0,115200000.0,234900000.0,388800000.0,117900000.0
45,113400000.0,379800000.0,544500000.0,660600000.0,346500000.0
46,93600000.0,170100000.0,297900000.0,277200000.0,486000000.0
47,86400000.0,182700000.0,306000000.0,417600000.0,510300000.0
48,58500000.0,83700000.0,45000000.0,28800000.0,76500000.0
49,89100000.0,217800000.0,363600000.0,459900000.0,405900000.0
