,0,1,2,3,4
0,124200000.0,185400000.0,254700000.0,250200000.0,683100000.0
1,94500000.0,120600000.0,137700000.0,91800000.0,314100000.0
2,58500000.0,21600000.0,7200000.0,-19800000.0,-34200000.0
3,88200000.0,82800000.0,74700000.0,25200000.0,243000000.0
4,72900000.0,198000000.0,297900000.0,232200000.0,142200000.0
5,68400000.0,69300000.0,69300000.0,29700000.0,90900000.0
6,46800000.0,162900000.0,92700000.0,4500000.0,900000.0
7,78300000.0,84600000.0,69300000.0,11700000.0,209700000.0
8,85500000.0,86400000.0,84600000.0,52200000.0,225000000.0
9,51300000.0,43200000.0,27900000.0,-12600000.0,-31500000.0
10,78300000.0,90900000.0,106200000.0,139500000.0,295200000.0
11,42300000.0,36900000.0,43200000.0,30600000.0,-51300000.0
12,126900000.0,252900000.0,404100000.0,555300000.0,623700000.0
13,39600000.0,10800000.0,-900000.0,-46800000.0,-98100000.0
14,69300000.0,73800000.0,99000000.0,110700000.0,-279900000.0
15,44100000.0,27000000.0,21600000.0,3600000.0,-21600000.0
16,63000000.0,26100000.0,1800000.0,-48600000.0,32400000.0
17,86400000.0,231300000.0,294300000.0,343800000.0,365400000.0
18,55800000.0,63900000.0,95400000.0,150300000.0,3600000.0
19,66600000.0,81900000.0,79200000.0,56700000.0,5400000.0
20,39600000.0,26100000.0,27900000.0,2700000.0,-39600000.0
21,116100000.0,217800000.0,335700000.0,343800000.0,632700000.0
22,75600000.0,73800000.0,72900000.0,19800000.0,171900000.0
23,116100000.0,217800000.0,335700000.0,343800000.0,632700000.0
24,54900000.0,51300000.0,43200000.0,1800000.0,30600000.0
25,87300000.0,108900000.0,123300000.0,75600000.0,313200000.0
26,60300000.0,16200000.0,-4500000.0,-46800000.0,9000000.0
27,82800000.0,97200000.0,106200000.0,71100000.0,247500000.0
28,44100000.0,32400000.0,30600000.0,-26100000.0,-45900000.0
29,42300000.0,52200000.0,97200000.0,166500000.0,84600000.0
30,75600000.0,87300000.0,73800000.0,18000000.0,242100000.0
31,101700000.0,236700000.0,343800000.0,330300000.0,339300000.0
32,73800000.0,55800000.0,42300000.0,4500000.0,113400000.0
33,90000000.0,93600000.0,122400000.0,86400000.0,338400000.0
34,64800000.0,89100000.0,114300000.0,189000000.0,96300000.0
35,67500000.0,57600000.0,51300000.0,10800000.0,91800000.0
36,87300000.0,66600000.0,78300000.0,24300000.0,313200000.0
37,88200000.0,101700000.0,92700000.0,52200000.0,234900000.0
38,99900000.0,162000000.0,200700000.0,175500000.0,427500000.0
39,97200000.0,149400000.0,219600000.0,278100000.0,404100000.0
